Duration_ms,PacketCount,PktCount,PktSum,PktMean,PktMin,PktMax,PktStd,IATCount,IATSum_ms,IATMean_ms,IATMin_ms,IATMax_ms,IATStd_ms,label
264.925,5,5,751,150.2,54,523,186.458,4,264.925,66.231,0.022,184.599,75.785,1
2922.464,14,14,2935,209.643,66,1354,325.905,13,2922.464,224.805,0.001,2039.853,537.159,0
5477.466,3,3,282,94.0,91,96,2.16,2,5477.466,2738.733,1772.568,3704.898,966.165,0
0.0,1,1,85,85.0,85,85,0.0,0,0.0,0.0,0.0,0.0,0.0,1
139.377,8,8,2530,316.25,86,1354,422.414,7,139.377,19.911,0.018,72.176,30.614,0
0.0,1,1,150,150.0,150,150,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,82,82.0,82,82,0.0,0,0.0,0.0,0.0,0.0,0.0,1
12349.11,9,9,1119,124.333,60,376,119.579,8,12349.11,1543.639,0.114,7278.912,2719.855,1
0.0,1,1,80,80.0,80,80,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,54,54.0,54,54,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,75,75.0,75,75,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,124,124.0,124,124,0.0,0,0.0,0.0,0.0,0.0,0.0,0
788.994,16,16,5950,371.875,66,1354,452.588,15,788.994,52.6,0.0,249.511,67.736,0
41.146,53,53,73059,1378.472,54,1514,420.108,52,41.146,0.791,0.001,11.19,2.476,1
0.0,1,1,159,159.0,159,159,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,186,186.0,186,186,0.0,0,0.0,0.0,0.0,0.0,0.0,0
321.158,2,2,132,66.0,54,78,12.0,1,321.158,321.158,321.158,321.158,0.0,0
0.0,1,1,208,208.0,208,208,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,88,88.0,88,88,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,86,86.0,86,86,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,74,74.0,74,74,0.0,0,0.0,0.0,0.0,0.0,0.0,1
989.599,5,5,793,158.6,54,565,203.253,4,989.599,247.4,0.162,551.71,203.97,1
303.903,22,22,7800,354.545,93,1292,461.916,21,303.903,14.472,0.002,103.395,23.85,0
50.255,46,46,3443,74.848,60,427,65.414,45,50.255,1.117,0.024,11.196,2.778,1
12.553,5,5,451,90.2,60,205,57.447,4,12.553,3.138,0.367,10.171,4.086,1
1002.299,11,11,4822,438.364,86,1354,495.248,10,1002.299,100.23,0.009,348.056,152.224,0
430.523,19,19,24062,1266.421,54,1514,528.563,18,430.523,23.918,0.001,174.22,50.743,1
97.576,5,5,743,148.6,54,515,183.259,4,97.576,24.394,0.077,92.786,39.497,1
0.0,1,1,83,83.0,83,83,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,104,104.0,104,104,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,81,81.0,81,81,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,115,115.0,115,115,0.0,0,0.0,0.0,0.0,0.0,0.0,0
3114.99,14,14,3743,267.357,66,1354,372.978,13,3114.99,239.615,0.076,2933.175,777.804,0
0.0,1,1,91,91.0,91,91,0.0,0,0.0,0.0,0.0,0.0,0.0,0
60022.031,4,4,578,144.5,54,404,149.902,3,60022.031,20007.344,0.671,60016.944,28291.06,1
338.49,4,4,970,242.5,54,796,319.601,3,338.49,112.83,49.278,144.832,44.938,1
12314.793,6,6,683,113.833,60,377,117.712,5,12314.793,2462.959,0.136,7278.396,3092.478,1
0.0,1,1,329,329.0,329,329,0.0,0,0.0,0.0,0.0,0.0,0.0,0
64552.115,4,4,246,61.5,60,66,2.598,3,64552.115,21517.372,8.453,64535.01,30418.064,1
0.0,1,1,151,151.0,151,151,0.0,0,0.0,0.0,0.0,0.0,0.0,0
9014.329,3,3,198,66.0,66,66,0.0,2,9014.329,4507.164,2998.757,6015.572,1508.408,1
0.0,1,1,107,107.0,107,107,0.0,0,0.0,0.0,0.0,0.0,0.0,0
215.55,14,14,8638,617.0,86,1292,504.882,13,215.55,16.581,0.0,61.43,22.313,0
1796.45,5,5,793,158.6,54,565,203.253,4,1796.45,449.113,0.342,1113.654,431.587,1
0.0,1,1,151,151.0,151,151,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,112,112.0,112,112,0.0,0,0.0,0.0,0.0,0.0,0.0,1
2988.805,7,7,658,94.0,74,109,17.321,6,2988.805,498.134,0.032,2630.372,962.176,0
11.519,5,5,455,91.0,60,209,59.046,4,11.519,2.88,0.17,5.811,2.708,1
110003.57,13,13,1870,143.846,60,747,188.026,12,110003.57,9166.964,0.185,109876.545,30365.083,1
5396.016,4,4,508,127.0,87,141,23.098,3,5396.016,1798.672,0.001,3603.089,1470.96,0
0.0,1,1,166,166.0,166,166,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,124,124.0,124,124,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,76,76.0,76,76,0.0,0,0.0,0.0,0.0,0.0,0.0,1
344.665,2,2,132,66.0,54,78,12.0,1,344.665,344.665,344.665,344.665,0.0,0
0.0,1,1,241,241.0,241,241,0.0,0,0.0,0.0,0.0,0.0,0.0,1
2147.486,5,5,447,89.4,60,201,55.848,4,2147.486,536.871,0.36,1773.332,718.537,1
63880.383,5,5,1851,370.2,54,1514,573.361,4,63880.383,15970.096,0.01,63831.333,27632.704,1
571.5,26,26,33987,1307.192,54,1514,490.917,25,571.5,22.86,0.001,166.069,46.72,1
0.0,1,1,66,66.0,66,66,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,85,85.0,85,85,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,181,181.0,181,181,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,79,79.0,79,79,0.0,0,0.0,0.0,0.0,0.0,0.0,1
11.104,5,5,455,91.0,60,209,59.046,4,11.104,2.776,0.162,5.656,2.601,1
304.563,2,2,132,66.0,54,78,12.0,1,304.563,304.563,304.563,304.563,0.0,0
465.662,14,14,8619,615.643,86,1292,550.797,13,465.662,35.82,0.0,135.603,48.665,0
0.0,1,1,165,165.0,165,165,0.0,0,0.0,0.0,0.0,0.0,0.0,0
80013.498,16,16,1557,97.312,60,344,82.077,15,80013.498,5334.233,0.101,61222.934,15616.418,1
77701.875,3,3,174,58.0,54,66,5.657,2,77701.875,38850.938,0.01,77701.865,38850.927,1
11.885,5,5,455,91.0,60,209,59.046,4,11.885,2.971,0.371,5.813,2.59,1
12348.662,6,6,681,113.5,60,375,116.967,5,12348.662,2469.732,8.635,7278.859,3089.944,1
0.0,1,1,122,122.0,122,122,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,111,111.0,111,111,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,80,80.0,80,80,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,115,115.0,115,115,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,90,90.0,90,90,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,114,114.0,114,114,0.0,0,0.0,0.0,0.0,0.0,0.0,1
5043.515,24,24,32517,1354.875,54,1514,430.626,23,5043.515,219.283,0.001,5023.16,1024.194,1
0.0,1,1,74,74.0,74,74,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,132,132.0,132,132,0.0,0,0.0,0.0,0.0,0.0,0.0,0
